n_state_partitions,seeds_in_state_tier,seeds_country_tier_only,residual_area_km2,seed_count,duplicate_metro_ids_dropped,country_area_km2,n_clusters,rotated_for_pole,number_of_output_pieces,number_of_metros,sum_cell_area_km2,area_sum_residual_km2,max_cell_area_km2,geometry_valid,country_code,case
1,1,0,437.02139576928,1,0,451.49409048356006,0,False,0,2,0.0,0.0,0.0,True,AD,single_seed
6,7,1,288.35172811732195,8,0,71247.25180640929,0,False,0,12,0.0,0.0,0.0,True,AE,halfspace_intersection
29,33,0,29042.152437523677,33,0,642392.4477833406,0,False,0,43,0.0,0.0,0.0,True,AF,halfspace_intersection
1,1,0,377.3285658689951,1,0,453.34225932272085,0,False,0,2,0.0,0.0,0.0,True,AG,single_seed
1,1,0,81.47663172720762,1,0,87.6976507095649,0,False,0,2,0.0,0.0,0.0,True,AI,single_seed
12,26,0,0.007359589064654375,26,0,28298.353041951832,0,False,0,28,0.0,0.0,0.0,True,AL,halfspace_intersection
8,8,0,7766.623208303352,8,0,29554.974809381765,0,False,0,14,0.0,0.0,0.0,True,AM,halfspace_intersection
18,48,1,2.1736144906480658e-05,49,0,1249439.4645781866,0,False,0,48,0.0,0.0,0.0,True,AO,halfspace_intersection
0,0,40,12258369.704555996,40,0,12258369.704555996,0,True,0,40,0.0,0.0,0.0,True,AQ,halfspace_intersection
24,156,2,0.0005929139330574719,158,0,2783121.600367892,0,False,0,157,0.0,0.0,0.0,True,AR,halfspace_intersection
1,1,0,126.42595230197465,1,0,180.9668145381554,0,False,0,2,0.0,0.0,0.0,True,AS,single_seed
9,9,0,0.002603535628502593,9,0,83755.91604845668,0,False,0,12,0.0,0.0,0.0,True,AT,halfspace_intersection
8,224,0,194.5809395386127,224,0,7705923.799071813,0,False,0,228,0.0,0.0,0.0,True,AU,halfspace_intersection
1,1,0,0.0,1,0,170.42131191173183,0,False,0,1,0.0,0.0,0.0,True,AW,fully_state_partitioned
1,1,0,928.2288394056831,1,0,936.7828863273613,0,False,0,2,0.0,0.0,0.0,True,AX,single_seed
16,17,0,69497.73768423779,17,0,86152.93414957602,0,False,0,33,0.0,0.0,0.0,True,AZ,halfspace_intersection
