country_code,has_boundary,seed_count,area_km2,action
AD,True,1,451.49,tessellate
AE,True,8,71247.25,tessellate
AF,True,33,642392.45,tessellate
AG,True,1,453.34,tessellate
AI,True,1,87.7,tessellate
AL,True,26,28298.35,tessellate
AM,True,8,29554.97,tessellate
AO,True,49,1249439.46,tessellate
AQ,True,40,12258369.7,tessellate
AR,True,158,2783121.6,tessellate
AS,True,1,180.97,tessellate
AT,True,9,83755.92,tessellate
AU,True,224,7705923.8,tessellate
AW,True,1,170.42,tessellate
AX,True,1,936.78,tessellate
AZ,True,17,86152.93,tessellate
BA,True,6,51721.63,tessellate
BB,True,1,445.91,tessellate
BD,True,16,137217.44,tessellate
BE,True,10,30561.23,tessellate
BF,True,32,273826.75,tessellate
BG,True,18,112568.27,tessellate
BH,True,1,689.43,tessellate
BI,True,14,27161.38,tessellate
BJ,True,9,116589.95,tessellate
BL,True,1,24.5,tessellate
BM,True,1,62.34,tessellate
BN,True,1,5741.83,tessellate
BO,True,69,1090454.22,tessellate
BQ,True,3,296.36,tessellate
BR,True,392,8504953.8,tessellate
BS,True,2,12631.9,tessellate
BT,True,4,40487.62,tessellate
BV,True,0,54.97,excluded: uninhabited nature reserve; no network infrastructure
BW,True,20,580514.93,tessellate
BY,True,15,206632.1,tessellate
BZ,True,7,22373.25,tessellate
CA,True,255,9894500.67,tessellate
CD,True,88,2335422.29,tessellate
CF,True,21,620643.79,tessellate
CG,True,17,346428.73,tessellate
CH,True,28,41326.03,tessellate
CI,True,25,322038.61,tessellate
CK,True,1,191.69,tessellate
CL,True,84,736364.18,tessellate
CM,True,31,466331.23,tessellate
CN,True,400,9373413.04,tessellate
CO,True,72,1140094.81,tessellate
CR,True,13,51360.03,tessellate
CU,True,26,110287.59,tessellate
CV,True,2,3940.36,tessellate
CW,True,1,465.04,tessellate
CY,True,6,9282.13,tessellate
CZ,True,12,78497.28,tessellate
DE,True,58,356378.74,tessellate
DJ,True,5,21933.76,tessellate
DK,True,12,42494.31,tessellate
DM,True,1,732.9,tessellate
DO,True,31,48589.06,tessellate
DZ,True,51,2312302.05,tessellate
EC,True,37,256155.22,tessellate
EE,True,7,45576.27,tessellate
EG,True,42,1002869.98,tessellate
EH,True,1,90696.46,tessellate
ER,True,7,122972.08,tessellate
ES,True,49,506328.33,tessellate
ET,True,34,1132066.51,tessellate
FI,True,21,330937.69,tessellate
FJ,True,4,18992.16,tessellate
FK,True,2,11553.36,tessellate
FM,True,1,636.56,tessellate
FO,True,2,1320.59,tessellate
FR,True,58,546435.25,tessellate
GA,True,20,261133.32,tessellate
GB,True,57,242736.76,tessellate
GD,True,1,348.61,tessellate
GE,True,7,69462.33,tessellate
GF,True,7,83551.74,tessellate
GG,True,1,73.74,tessellate
GH,True,17,239676.4,tessellate
